mean_pitch,std_pitch,max_pitch,min_pitch,mean_gx,mean_gy,mean_gz,label
-6.828599999999999,14.497287291639307,15.0,-35.13,0.029399999999999996,0.07219999999999999,-0.042,0
25.392999999999997,14.431216907404982,49.84,-3.65,0.2016,0.04780000000000001,-0.05080000000000001,0
9.0792,8.448582743120111,32.14,-4.52,-0.20600000000000002,-0.08280000000000001,-0.036199999999999996,0
6.237,2.716660051742708,14.74,-0.04,-0.04860000000000001,-0.0208,-0.004399999999999995,0
1.8259999999999998,3.340194910602722,11.23,-5.27,-0.0438,-0.03339999999999999,-0.0020000000000000104,0
1.7368000000000001,3.225308363678786,7.81,-8.53,-0.1242,-0.013999999999999999,-0.020799999999999996,0
0.22919999999999996,5.297601243843812,5.0,-13.1,-0.012000000000000002,-0.062400000000000004,-0.046799999999999994,0
4.1886,8.298272505252438,23.4,-10.44,-0.10839999999999998,0.051800000000000006,-0.0148,0
2.3748,0.6291368885145712,3.8,1.24,-0.0562,-0.0078000000000000005,-0.0424,0
-0.08220000000000001,3.640430726926557,5.5,-7.42,-0.083,-0.019000000000000003,-0.030999999999999996,0
-2.905,8.395099457300025,5.86,-23.37,0.028800000000000003,-0.08259999999999999,-0.028800000000000003,0
-0.01759999999999989,5.298363459308806,10.67,-15.72,-0.0848,0.06219999999999999,-0.018000000000000002,0
0.1482,1.410868440040403,2.65,-6.34,-0.046,-0.006800000000000001,-0.03740000000000001,0
0.2922,1.5824809893432064,3.81,-3.54,-0.0522,-0.005600000000000001,-0.030000000000000006,0
1.0583999999999998,1.2054000267503713,3.16,-1.75,-0.0478,-0.016,-0.0386,0
0.6908,0.6218695971973284,2.0,-0.83,-0.055,-0.005799999999999999,-0.0252,0
0.8468000000000001,0.595361114906623,2.9,-0.35,-0.049800000000000004,-0.0076,-0.0292,0
1.095,0.5313143118335734,2.12,0.0,-0.05140000000000001,-0.007000000000000001,-0.024400000000000005,0
1.3512,0.5209866620565409,2.56,0.34,-0.052000000000000005,-0.005600000000000001,-0.0286,0
1.5888000000000002,0.44362440447398516,2.67,0.6,-0.05339999999999999,-0.0076,-0.0276,0
1.9651999999999998,0.5622086184080114,3.03,0.68,-0.0528,-0.006200000000000001,-0.0278,0
2.5408,0.8274890467244745,4.95,1.38,-0.045,0.0008000000000000006,-0.026999999999999996,0
3.3949999999999996,0.6856346679968741,4.56,1.04,-0.0462,-0.010599999999999997,-0.0292,0
0.2046,4.403632178934446,12.88,-5.58,-0.05879999999999999,-0.0164,0.05580000000000001,0
4.0588,1.9993291119671077,8.13,0.14,-0.122,-0.012800000000000002,-0.1334,0
2.9003999999999994,1.2373621712567195,5.33,-0.33,-0.024600000000000004,-0.0038000000000000004,-0.027600000000000003,0
3.347,0.7504644820213081,4.9,1.97,-0.0504,-0.0132,-0.029600000000000005,0
3.3032,0.5371977175631911,4.44,1.68,-0.0418,-0.0048,-0.0268,0
3.386400000000001,0.34240303260148536,4.09,2.75,-0.05319999999999998,-0.0074,-0.0298,0
3.4384,0.9237641716899173,5.31,0.04,-0.057999999999999996,-0.006,-0.012800000000000002,0
3.6152,0.4844910647645988,4.57,2.23,-0.05159999999999999,-0.0094,-0.028000000000000004,0
3.8960000000000004,0.5201883489346402,5.1,2.85,-0.0536,-0.008399999999999998,-0.0282,0
3.7329999999999997,0.5801943727787108,5.0,2.44,-0.0532,-0.009200000000000002,-0.024399999999999998,0
3.4482,0.7642408264521902,5.36,1.86,-0.0506,-0.0106,-0.033400000000000006,0
3.1804,0.41646206677346315,4.1,2.17,-0.0526,-0.0106,-0.03660000000000001,0
3.216,0.5942960163942215,4.47,1.25,-0.0524,-0.008799999999999999,-0.0342,0
3.1808000000000005,0.5584667055648794,4.47,2.11,-0.05539999999999999,-0.008799999999999999,-0.024399999999999998,0
3.0967999999999996,0.525615052746275,4.28,2.15,-0.0518,-0.0106,-0.030800000000000004,0
3.1950000000000007,0.5822589717677878,4.66,1.81,-0.053,-0.006400000000000001,-0.0268,0
3.3673999999999995,0.527755393247706,4.37,2.25,-0.052399999999999995,-0.0084,-0.026000000000000006,0
3.4375999999999998,0.51148267870207,4.35,2.21,-0.0538,-0.008400000000000001,-0.028200000000000003,0
3.600199999999999,0.4443775284092368,4.39,2.43,-0.05159999999999999,-0.0068000000000000005,-0.027999999999999997,0
3.4414000000000002,0.65451340392567,4.72,2.04,-0.052800000000000014,-0.0098,-0.0292,0
3.1548000000000003,1.1131097090987014,4.88,-0.75,-0.046799999999999994,-0.024200000000000003,-0.068,0
2.443,1.0872568928364668,4.7,-1.44,-0.048799999999999996,-0.0008000000000000006,-0.006399999999999998,0
2.9706,0.43525460529277743,3.85,1.83,-0.0518,-0.007000000000000001,-0.028999999999999998,0
3.24,0.4589384379150633,4.15,2.19,-0.06060000000000001,-0.008400000000000001,-0.0358,0
2.7963999999999998,1.2110052494872656,4.43,-0.51,-0.059400000000000015,-0.021399999999999995,-0.0254,0
2.7303999999999995,1.764322104887857,6.03,-1.51,-0.048799999999999996,-0.0009999999999999996,-0.0292,0
3.0312,0.519165893034005,4.51,2.16,-0.05579999999999999,-0.0058000000000000005,-0.027600000000000003,0
3.085600000000001,0.3943434740301964,4.24,2.34,-0.05500000000000001,-0.0078000000000000005,-0.033400000000000006,0
3.2883999999999998,0.35323207379736016,4.17,2.53,-0.0548,-0.008,-0.029600000000000005,0
3.3569999999999998,0.39691283163733493,4.0,2.45,-0.052399999999999995,-0.009,-0.028600000000000004,0
3.2076,0.4514989095292728,4.05,2.21,-0.0504,-0.0076,-0.030600000000000006,0
3.1273999999999997,0.6309397267374358,4.24,1.64,-0.045799999999999993,-0.0106,-0.0288,0
3.4372,1.6683855571620543,6.32,-0.65,-0.0482,-0.004000000000000001,-0.027999999999999997,0
3.3445999999999994,0.8388894748537545,5.27,1.74,-0.0526,-0.012799999999999999,-0.033800000000000004,0
3.4626,0.4251185188886046,4.17,2.56,-0.0502,-0.0072,-0.0366,0
3.612,0.4645735371591579,4.93,2.45,-0.0552,-0.009400000000000002,-0.023400000000000004,0
3.5153999999999996,0.538665054385679,4.41,2.33,-0.054799999999999995,-0.0088,-0.027600000000000003,0
3.5724,0.4943747236125031,4.49,2.18,-0.055600000000000004,-0.0114,-0.0338,0
4.4398,1.4758968079629082,7.88,1.93,-0.0504,-0.0064,-0.0816,0
-0.22819999999999996,3.58216197972392,4.82,-7.42,-0.05440000000000001,-0.016,0.012000000000000009,0
2.2594000000000003,1.5644917150725381,4.84,-3.16,-0.05039999999999999,-0.01,-0.015400000000000002,0
2.8771999999999998,1.7710311074832845,6.48,-1.25,-0.053,-0.004800000000000001,-0.022,0
3.3215999999999997,0.8165691292579845,5.71,2.0,-0.04500000000000001,-0.0068,-0.0252,0
3.4703999999999997,0.41550048503127474,4.22,2.38,-0.053399999999999996,-0.009000000000000001,-0.0298,0
3.4951999999999996,0.3731949208920077,4.12,2.56,-0.0536,-0.0076,-0.028000000000000004,0
3.5557999999999996,0.3838105931687809,4.53,2.75,-0.0512,-0.0082,-0.029600000000000005,0
3.4046000000000003,0.3404631299526321,4.25,2.77,-0.0572,-0.0092,-0.03,0
3.5018000000000002,0.42836514082911903,4.87,2.45,-0.0546,-0.008799999999999999,-0.031,0
2.6746,1.1676335915353038,6.5,1.03,-0.029800000000000004,-0.007400000000000001,0.0876,0
2.9504,2.007001987939184,7.13,-0.75,-0.0462,-0.01,-0.21320000000000003,0
5.985399999999999,2.415652368894775,9.76,1.02,-0.08979999999999999,-0.0016000000000000014,-0.1004,0
6.022,4.066164014881639,11.62,-2.02,-0.06319999999999999,-0.0736,0.2816,0
3.7864,4.225727692435026,7.94,-4.93,-0.1116,0.005599999999999999,-0.21660000000000001,0
3.0348,2.3081419685406646,10.25,-2.97,-0.0088,0.0038000000000000017,-0.0268,0
4.671200000000001,1.0443856508757203,7.84,2.37,-0.03560000000000001,0.00039999999999999926,-0.030600000000000006,0
4.8596,0.45232262280593577,5.81,3.86,-0.05859999999999999,-0.0063999999999999994,-0.038,0
5.396800000000001,0.5119488175948204,6.49,4.31,-0.0446,-0.0068,-0.0292,0
5.7992,0.4344681947449065,6.76,4.66,-0.056600000000000004,-0.0048000000000000004,-0.0252,0
6.1084000000000005,0.5041961069719937,7.22,4.57,-0.05500000000000001,-0.007000000000000001,-0.029000000000000005,0
6.427,0.36987725487446427,7.33,5.76,-0.05279999999999999,-0.0058000000000000005,-0.023600000000000003,0
6.8732,0.40165697620060353,8.02,6.02,-0.0508,-0.0088,-0.030200000000000005,0
6.877600000000001,0.3859869935421057,7.61,5.77,-0.0546,-0.01,-0.0332,0
5.639999999999999,1.8902780272775122,7.84,1.68,-0.0512,-0.0328,-0.062,0
4.3748000000000005,1.7047236175535605,7.8,0.19,-0.0546,-0.004400000000000001,-0.0356,0
3.6497999999999995,1.3119116601668088,7.33,0.97,-0.05999999999999999,-0.018000000000000002,0.0027999999999999995,0
3.6886,4.316357123353735,10.47,-5.15,-0.0386,-0.039400000000000004,0.09839999999999999,0
2.2281999999999997,3.1223863780572625,6.48,-4.63,-0.05260000000000001,0.019599999999999996,-0.1732,0
